,overall_sentiment_score,BTC_sentiment,ETH_sentiment,BTC_relevance,ETH_relevance,timestamp
262,0.049692,0.00393,,0.109355,,2022-03-09 09:54:00
263,-0.178172,-0.128937,0.035628,0.589609,0.185948,2022-03-09 09:56:00
264,0.096145,-0.013021,,0.60326,,2022-03-09 10:36:00
265,-0.096748,-0.080522,,0.064224,,2022-03-09 10:41:00
266,0.081629,0.081629,0.020669,0.880871,0.56415,2022-03-09 10:45:00
267,0.02936125,0.0457935,,0.2541865,,2022-03-09 11:00:00
268,-0.051633,0.003379,0.001233,0.248597,0.042107,2022-03-09 11:02:00
269,-0.035673,0.02067,0.02067,0.076921,0.076921,2022-03-09 11:08:00
270,-0.046069,-0.124374,,0.607508,,2022-03-09 11:20:00
271,0.216789,0.003194,0.216789,0.316846,0.846873,2022-03-09 11:28:00
272,0.205189,0.024564,,0.107064,,2022-03-09 11:45:00
273,-0.008806,0.008429,0.010194,0.243012,0.122957,2022-03-09 11:53:00
274,0.168868,0.168868,,0.890693,,2022-03-09 11:57:00
275,0.0036539999999999993,-0.171465,,0.12294266666666666,,2022-03-09 12:00:00
276,-0.165595,,-0.002464,,0.311829,2022-03-09 12:08:00
277,-0.153138,0.003469,,0.038673,,2022-03-09 12:13:00
278,0.107524,0.496259,,0.152499,,2022-03-09 12:26:00
279,-0.262674,,-0.160875,,0.349083,2022-03-09 12:27:00
280,0.010404,-0.004849,-0.019268,0.330433,0.168963,2022-03-09 12:32:00
281,-0.185324,-0.43446,,0.087663,,2022-03-09 12:48:00
282,-0.002188,-0.06252,,0.164244,,2022-03-09 12:50:00
283,-0.214391,-0.059733,,0.020213,,2022-03-09 12:53:00
284,-0.118386,-0.017303,-0.017303,0.013768,0.013768,2022-03-09 13:09:00
285,0.318048,,0.319609,,0.147682,2022-03-09 13:15:00
286,-0.160793,-0.229172,,0.12013,,2022-03-09 13:21:00
287,0.06793,0.047878,0.047878,0.06105,0.06105,2022-03-09 13:31:00
288,-0.007908499999999999,-0.059952500000000006,,0.133917,,2022-03-09 13:34:00
289,0.003703,0.013187,0.001711,0.360752,0.899125,2022-03-09 13:42:00
290,-0.039965,-0.020703,-0.020703,0.163798,0.082336,2022-03-09 13:49:00
291,0.03654,,0.002137,,0.051853,2022-03-09 13:50:00
292,-0.004913000000000001,0.000959,-0.214663,0.261959,0.896158,2022-03-09 13:54:00
293,-0.048537,-0.05743,,0.087567,,2022-03-09 13:59:00
294,-0.132688,0.021939,,0.174967,,2022-03-09 14:00:00
295,-0.019146,0.002964,0.014749,0.075922,0.038004,2022-03-09 14:01:00
296,0.04149,-0.031997,-0.207535,0.266204,0.11588,2022-03-09 14:03:00
297,0.023052,0.02914,,0.429116,,2022-03-09 14:14:00
298,-0.002919,-0.015615,0.001311,0.709186,0.571787,2022-03-09 14:21:00
299,0.110069,,0.022288,,0.230782,2022-03-09 14:39:00
300,-0.266036,-0.364528,0.002273,0.153813,0.077268,2022-03-09 14:41:00
301,-0.498847,-0.390339,,0.072391,,2022-03-09 14:42:00
302,0.121601,-0.033979,-0.033979,0.043389,0.043389,2022-03-09 14:49:00
303,0.277556,,0.060686,,0.05143,2022-03-09 14:50:00
304,0.055866,,0.08046,,0.05609,2022-03-09 14:53:00
305,0.020892,-0.024071,0.028512000000000003,0.12004,0.089515,2022-03-09 14:54:00
306,0.00636,,0.00636,,0.146827,2022-03-09 15:00:00
307,0.205769,,0.227204,,0.513808,2022-03-09 15:01:00
308,-0.10531,-0.123388,,0.693014,,2022-03-09 15:04:00
309,-0.064893,0.022498999999999998,0.049412,0.180274,0.060565999999999995,2022-03-09 15:13:00
310,0.06624,0.009997,,0.189471,,2022-03-09 15:17:00
311,0.0454735,0.068675,0.007464000000000002,0.39305,0.1204575,2022-03-09 15:24:00
312,-0.151446,-0.15514,,0.097854,,2022-03-09 15:26:00
313,0.058313000000000004,0.076402,0.037808,0.516656,0.516146,2022-03-09 15:28:00
314,0.358732,0.472962,0.472962,0.093909,0.093909,2022-03-09 15:32:00
315,-0.266036,-0.364528,0.002273,0.153813,0.077268,2022-03-09 15:34:00
316,0.050851,0.026043,0.102104,0.401813,0.207838,2022-03-09 15:54:00
317,-0.163182,-0.15514,,0.10056,,2022-03-09 15:57:00
318,-0.057352,-0.058765,,0.058947,,2022-03-09 16:06:00
319,0.037167,0.055286,0.055286,0.241444,0.241444,2022-03-09 16:11:00
320,0.143714,0.6416,,0.045182,,2022-03-09 16:21:00
321,-0.071704,-0.003966,,0.053834,,2022-03-09 16:28:00
322,-0.0159056,-0.009167333333333333,-0.014269500000000001,0.9553083333333333,0.9991025,2022-03-09 17:02:00
323,-0.03607,-0.054857,,0.906781,,2022-03-09 17:04:00
324,-0.110045,-0.027268,-0.009197,0.4454175,0.045525,2022-03-09 17:10:00
325,0.004963,0.005182,0.005182,0.597963,0.16594,2022-03-09 17:16:00
326,0.084211,0.023657,0.023657,0.072195,0.072195,2022-03-09 17:42:00
327,0.005964,0.014277,0.013865,0.49407,0.49407,2022-03-09 18:01:00
328,-0.015551499999999996,0.068675,-0.013586499999999994,0.396052,0.5343105,2022-03-09 18:02:00
329,0.032501,0.029298,0.029298,0.175348,0.175348,2022-03-09 18:05:00
330,0.090039,0.073743,0.098073,0.284145,0.668291,2022-03-09 18:15:00
331,-0.104627,-0.07339,-0.095792,0.241337,0.13553,2022-03-09 18:22:00
332,-0.496324,-0.40772,,0.080783,,2022-03-09 18:27:00
333,0.075161,0.002379,,0.064832,,2022-03-09 18:30:00
334,0.003872,0.019159,0.016473,0.15173,0.15173,2022-03-09 18:35:00
335,-0.183233,0.014838,,0.117171,,2022-03-09 18:36:00
336,0.052513,0.057713,,0.382144,,2022-03-09 19:01:00
337,0.088097,0.129755,,0.26712,,2022-03-09 19:02:00
